matrix_size,K,tile_size,naive_ms,tiled_ms,speedup,max_error
128,3,4,0.248625,0.228256,1.08924,0
128,3,8,0.248625,0.23379,1.06345,0
128,3,16,0.248625,0.215126,1.15572,0
128,3,32,0.248625,0.213817,1.16279,0
128,3,64,0.248625,0.210151,1.18308,0
128,3,128,0.248625,0.199051,1.24905,0
128,5,4,0.47873,0.515287,0.929055,0
128,5,8,0.47873,0.513759,0.931818,0
128,5,16,0.47873,0.485148,0.986771,0
128,5,32,0.47873,0.526742,0.908851,0
128,5,64,0.47873,0.466761,1.02564,0
128,5,128,0.47873,0.463813,1.03216,0
128,11,4,2.67291,2.65171,1.00799,0
128,11,8,2.67291,2.72122,0.982245,0
128,11,16,2.67291,2.82293,0.946857,0
128,11,32,2.67291,2.62308,1.01899,0
128,11,64,2.67291,2.59387,1.03047,0
128,11,128,2.67291,2.5966,1.02939,0
128,21,4,10.7432,10.7742,0.997118,0
128,21,8,10.7432,10.7376,1.00052,0
128,21,16,10.7432,10.9981,0.976823,0
128,21,32,10.7432,11.167,0.962046,0
128,21,64,10.7432,11.2502,0.95493,0
128,21,128,10.7432,10.7436,0.999964,0
256,3,4,1.0201,0.884166,1.15374,0
256,3,8,1.0201,0.93732,1.08831,0
256,3,16,1.0201,0.888939,1.14755,0
256,3,32,1.0201,0.855232,1.19277,0
256,3,64,1.0201,0.818984,1.24557,0
256,3,128,1.0201,0.814595,1.25228,0
256,5,4,2.00564,2.06046,0.973395,0
256,5,8,2.00564,2.01065,0.997506,0
256,5,16,2.00564,1.94475,1.03131,0
256,5,32,2.00564,1.89679,1.05739,0
256,5,64,2.00564,1.86933,1.07292,0
256,5,128,2.00564,1.85184,1.08305,0
256,11,4,10.321,10.5983,0.973835,0
256,11,8,10.321,10.4758,0.985221,0
256,11,16,10.321,10.4412,0.988492,0
256,11,32,10.321,10.3981,0.992585,0
256,11,64,10.321,10.452,0.987466,0
256,11,128,10.321,10.4256,0.989969,0
256,21,4,43.1272,43.1504,0.999463,0
256,21,8,43.1272,42.8472,1.00654,0
256,21,16,43.1272,42.8092,1.00743,0
256,21,32,43.1272,42.763,1.00852,0
256,21,64,43.1272,42.8333,1.00686,0
256,21,128,43.1272,42.7464,1.00891,0
512,3,4,4.07867,3.62884,1.12396,0
512,3,8,4.07867,3.78103,1.07872,0
512,3,16,4.07867,3.47535,1.1736,0
512,3,32,4.07867,3.39123,1.20271,0
512,3,64,4.07867,3.27579,1.24509,0
512,3,128,4.07867,3.30976,1.23231,0
512,5,4,8.02831,8.26069,0.97187,0
512,5,8,8.02831,8.09582,0.991662,0
512,5,16,8.02831,7.65327,1.049,0
512,5,32,8.02831,7.58296,1.05873,0
512,5,64,8.02831,7.46269,1.07579,0
512,5,128,8.02831,7.42946,1.0806,0
512,11,4,41.1543,42.2537,0.97398,0
512,11,8,41.1543,41.8431,0.983537,0
512,11,16,41.1543,41.9815,0.980295,0
512,11,32,41.1543,41.5722,0.989948,0
512,11,64,41.1543,41.5664,0.990085,0
512,11,128,41.1543,41.941,0.981242,0
512,21,4,171.81,172.047,0.998624,0
512,21,8,171.81,171.491,1.00186,0
512,21,16,171.81,171.238,1.00334,0
512,21,32,171.81,170.963,1.00495,0
512,21,64,171.81,170.932,1.00514,0
512,21,128,171.81,171.055,1.00441,0
1024,3,4,16.4343,14.426,1.13921,0
1024,3,8,16.4343,15.0742,1.09022,0
1024,3,16,16.4343,14.1718,1.15965,0
1024,3,32,16.4343,13.5354,1.21417,0
1024,3,64,16.4343,13.324,1.23344,0
1024,3,128,16.4343,13.3185,1.23395,0
1024,5,4,32.304,32.8702,0.982773,0
1024,5,8,32.304,31.3983,1.02885,0
1024,5,16,32.304,30.5497,1.05743,0
1024,5,32,32.304,29.8865,1.08089,0
1024,5,64,32.304,29.585,1.09191,0
1024,5,128,32.304,29.6109,1.09095,0
1024,11,4,164.666,168.635,0.976467,0
1024,11,8,164.666,167.248,0.984563,0
1024,11,16,164.666,166.57,0.988572,0
1024,11,32,164.666,166.167,0.990971,0
1024,11,64,164.666,165.78,0.993281,0
1024,11,128,164.666,165.658,0.994013,0
1024,21,4,684.938,687.544,0.996209,0
1024,21,8,684.938,686.396,0.997875,0
1024,21,16,684.938,684.582,1.00052,0
1024,21,32,684.938,684.267,1.00098,0
1024,21,64,684.938,684.865,1.00011,0
1024,21,128,684.938,684.302,1.00093,0
2048,3,4,66.318,57.7613,1.14814,0
2048,3,8,66.318,60.0166,1.10499,0
2048,3,16,66.318,56.0601,1.18298,0
2048,3,32,66.318,54.689,1.21264,0
2048,3,64,66.318,53.8493,1.23155,0
2048,3,128,66.318,53.4239,1.24135,0
2048,5,4,130.644,131.114,0.996413,0
2048,5,8,130.644,128.673,1.01532,0
2048,5,16,130.644,121.57,1.07464,0
2048,5,32,130.644,119.598,1.09236,0
2048,5,64,130.644,118.371,1.10368,0
2048,5,128,130.644,117.564,1.11126,0
2048,11,4,658.438,675.656,0.974517,0
2048,11,8,658.438,669.436,0.983571,0
2048,11,16,658.438,665.845,0.988877,0
2048,11,32,658.438,664.748,0.990508,0
2048,11,64,658.438,664.306,0.991168,0
2048,11,128,658.438,665.163,0.98989,0
2048,21,4,2741.7,2751.13,0.996572,0
2048,21,8,2741.7,2742.73,0.999624,0
2048,21,16,2741.7,2739.85,1.00067,0
2048,21,32,2741.7,2779.65,0.986347,0
2048,21,64,2741.7,2736.25,1.00199,0
2048,21,128,2741.7,2736.75,1.00181,0
