stage=reorder H=2048 W=2048 K=3 seed=1234 iters=10  time(median)=397.998ms  GFLOP/s=0.19
--- per-run average over 10 iterations (stage=reorder) ---
                             <not supported>
                             <not supported>
task-clock                   total=1065.82          avg/run=106.58
context-switches             total=52               avg/run=5.20
cpu-migrations               total=2                avg/run=0.20
page-faults                  total=12431            avg/run=1243.10
cycles                       total=940607154        avg/run=94060715.40
ref-cycles                   total=2604025644       avg/run=260402564.40
instructions                 total=2912537863       avg/run=291253786.30
stalled-cycles-frontend      <not supported>
stalled-cycles-backend       <not supported>
branches                     total=408727099        avg/run=40872709.90
branch-misses                total=422460           avg/run=42246.00
cache-references             total=20616001         avg/run=2061600.10
cache-misses                 total=13333769         avg/run=1333376.90
L1-dcache-loads              total=765181195        avg/run=76518119.50
L1-dcache-load-misses        total=11864498         avg/run=1186449.80
L1-dcache-stores             total=390863889        avg/run=39086388.90
L1-dcache-store-misses       <not supported>
L1-icache-load-misses        total=1359690          avg/run=135969.00
LLC-loads                    total=473970           avg/run=47397.00
LLC-load-misses              total=166009           avg/run=16600.90
LLC-stores                   total=4080599          avg/run=408059.90
LLC-store-misses             total=4783801          avg/run=478380.10
dTLB-loads                   total=822904198        avg/run=82290419.80
dTLB-load-misses             total=107265           avg/run=10726.50
dTLB-stores                  total=436856229        avg/run=43685622.90
dTLB-store-misses            total=116486           avg/run=11648.60
iTLB-loads                   total=1295             avg/run=129.50
iTLB-load-misses             total=5271             avg/run=527.10

--- derived metrics ---
IPC (instr/cycle)            3.096
L1D-load MPKI                4.0736
L1I-load MPKI                0.4668
LLC-load MPKI                0.0570
LLC-store MPKI               1.6425
dTLB-load MPKI               0.0368
dTLB-store MPKI              0.0400
iTLB-load MPKI               0.0018
L1D-load miss rate           1.5505%
LLC-load miss rate           35.0252%
