stage=optimized H=2048 W=2048 K=5 seed=1234 iters=10 time(median)=4.910ms GFLOP/s=42.71
--- per-run average over 10 iterations (stage=optimized) ---
                             <not supported>
                             <not supported>
task-clock                   total=90.78            avg/run=9.08
context-switches             total=3                avg/run=0.30
cpu-migrations               total=2                avg/run=0.20
page-faults                  total=12428            avg/run=1242.80
cpu_atom/cycles/             total=291839420        avg/run=29183942.00
cpu_core/cycles/             total=421946234        avg/run=42194623.40
cpu_atom/ref-cycles/         total=216982664        avg/run=21698266.40
cpu_core/ref-cycles/         total=217809496        avg/run=21780949.60
cpu_atom/instructions/       total=512301570        avg/run=51230157.00
cpu_core/instructions/       total=946130880        avg/run=94613088.00
cpu_atom/stalled-cycles-frontend/ <not supported>
cpu_core/stalled-cycles-frontend/ <not supported>
cpu_atom/stalled-cycles-backend/ <not supported>
cpu_core/stalled-cycles-backend/ <not supported>
cpu_atom/branches/           total=74596313         avg/run=7459631.30
cpu_core/branches/           total=129417595        avg/run=12941759.50
cpu_atom/branch-misses/      total=5055070          avg/run=505507.00
cpu_core/branch-misses/      total=2380445          avg/run=238044.50
cpu_atom/cache-references/   total=1228842          avg/run=122884.20
cpu_core/cache-references/   total=9553181          avg/run=955318.10
cpu_atom/cache-misses/       total=749835           avg/run=74983.50
cpu_core/cache-misses/       total=3487366          avg/run=348736.60
cpu_atom/L1-dcache-loads/    total=65043121         avg/run=6504312.10
cpu_core/L1-dcache-loads/    total=266010645        avg/run=26601064.50
cpu_atom/L1-dcache-load-misses/ <not supported>
cpu_core/L1-dcache-load-misses/ total=6309521          avg/run=630952.10
cpu_atom/L1-dcache-stores/   total=46844865         avg/run=4684486.50
cpu_core/L1-dcache-stores/   total=112867439        avg/run=11286743.90
cpu_atom/L1-dcache-store-misses/ <not supported>
cpu_core/L1-dcache-store-misses/ <not supported>
cpu_atom/L1-icache-load-misses/ total=117365           avg/run=11736.50
cpu_core/L1-icache-load-misses/ total=600597           avg/run=60059.70
cpu_atom/LLC-loads/          total=17182            avg/run=1718.20
cpu_core/LLC-loads/          total=703726           avg/run=70372.60
cpu_atom/LLC-load-misses/    total=0                avg/run=0.00
cpu_core/LLC-load-misses/    total=530494           avg/run=53049.40
cpu_atom/LLC-stores/         <not supported>
cpu_core/LLC-stores/         total=840161           avg/run=84016.10
cpu_atom/LLC-store-misses/   <not supported>
cpu_core/LLC-store-misses/   total=606436           avg/run=60643.60
cpu_atom/dTLB-loads/         <not supported>
cpu_core/dTLB-loads/         total=253982521        avg/run=25398252.10
cpu_atom/dTLB-load-misses/   <not supported>
cpu_core/dTLB-load-misses/   total=17656            avg/run=1765.60
cpu_atom/dTLB-stores/        <not supported>
cpu_core/dTLB-stores/        total=113462026        avg/run=11346202.60
cpu_atom/dTLB-store-misses/  <not supported>
cpu_core/dTLB-store-misses/  total=80342            avg/run=8034.20
cpu_atom/iTLB-loads/         <not supported>
cpu_core/iTLB-loads/         <not supported>
cpu_atom/iTLB-load-misses/   <not supported>
cpu_core/iTLB-load-misses/   total=3677             avg/run=367.70

--- derived metrics ---
