stage=reorder H=2048 W=2048 K=3 seed=1234 iters=10 time(median)=10.861ms GFLOP/s=6.95
--- per-run average over 10 iterations (stage=reorder) ---
                             <not supported>
                             <not supported>
task-clock                   total=146.00           avg/run=14.60
context-switches             total=4                avg/run=0.40
cpu-migrations               total=3                avg/run=0.30
page-faults                  total=12421            avg/run=1242.10
cpu_atom/cycles/             total=473746007        avg/run=47374600.70
cpu_core/cycles/             total=617428653        avg/run=61742865.30
cpu_atom/ref-cycles/         total=333808764        avg/run=33380876.40
cpu_core/ref-cycles/         total=349886308        avg/run=34988630.80
cpu_atom/instructions/       total=288758332        avg/run=28875833.20
cpu_core/instructions/       total=2975255895       avg/run=297525589.50
cpu_atom/stalled-cycles-frontend/ <not supported>
cpu_core/stalled-cycles-frontend/ <not supported>
cpu_atom/stalled-cycles-backend/ <not supported>
cpu_core/stalled-cycles-backend/ <not supported>
cpu_atom/branches/           total=56034684         avg/run=5603468.40
cpu_core/branches/           total=422183346        avg/run=42218334.60
cpu_atom/branch-misses/      total=3126596          avg/run=312659.60
cpu_core/branch-misses/      total=2284729          avg/run=228472.90
cpu_atom/cache-references/   total=8648616          avg/run=864861.60
cpu_core/cache-references/   total=8487030          avg/run=848703.00
cpu_atom/cache-misses/       total=722351           avg/run=72235.10
cpu_core/cache-misses/       total=2979289          avg/run=297928.90
cpu_atom/L1-dcache-loads/    total=68555772         avg/run=6855577.20
cpu_core/L1-dcache-loads/    total=807675975        avg/run=80767597.50
cpu_atom/L1-dcache-load-misses/ <not supported>
cpu_core/L1-dcache-load-misses/ total=2083478          avg/run=208347.80
cpu_atom/L1-dcache-stores/   <not supported>
cpu_core/L1-dcache-stores/   total=405825637        avg/run=40582563.70
cpu_atom/L1-dcache-store-misses/ <not supported>
cpu_core/L1-dcache-store-misses/ <not supported>
cpu_atom/L1-icache-load-misses/ <not supported>
cpu_core/L1-icache-load-misses/ total=396916           avg/run=39691.60
cpu_atom/LLC-loads/          <not supported>
cpu_core/LLC-loads/          total=140645           avg/run=14064.50
cpu_atom/LLC-load-misses/    <not supported>
cpu_core/LLC-load-misses/    total=97638            avg/run=9763.80
cpu_atom/LLC-stores/         <not supported>
cpu_core/LLC-stores/         total=864365           avg/run=86436.50
cpu_atom/LLC-store-misses/   <not supported>
cpu_core/LLC-store-misses/   total=775722           avg/run=77572.20
cpu_atom/dTLB-loads/         <not supported>
cpu_core/dTLB-loads/         total=799157564        avg/run=79915756.40
cpu_atom/dTLB-load-misses/   <not supported>
cpu_core/dTLB-load-misses/   total=36677            avg/run=3667.70
cpu_atom/dTLB-stores/        <not supported>
cpu_core/dTLB-stores/        total=409986707        avg/run=40998670.70
cpu_atom/dTLB-store-misses/  <not supported>
cpu_core/dTLB-store-misses/  total=291377           avg/run=29137.70
cpu_atom/iTLB-loads/         <not supported>
cpu_core/iTLB-loads/         <not supported>
cpu_atom/iTLB-load-misses/   <not supported>
cpu_core/iTLB-load-misses/   total=35697            avg/run=3569.70

--- derived metrics ---
