stage=simd_tiled H=2048 W=2048 K=5 seed=1234 iters=10 time(median)=191.592ms GFLOP/s=1.09
--- per-run average over 10 iterations (stage=simd_tiled) ---
                             <not supported>
                             <not supported>
task-clock                   total=533.98           avg/run=53.40
context-switches             total=135              avg/run=13.50
cpu-migrations               total=2                avg/run=0.20
page-faults                  total=12439            avg/run=1243.90
cycles                       total=749863165        avg/run=74986316.50
ref-cycles                   total=1277666184       avg/run=127766618.40
instructions                 total=1226880151       avg/run=122688015.10
stalled-cycles-frontend      <not supported>
stalled-cycles-backend       <not supported>
branches                     total=202222914        avg/run=20222291.40
branch-misses                total=502772           avg/run=50277.20
cache-references             total=25768822         avg/run=2576882.20
cache-misses                 total=15266461         avg/run=1526646.10
L1-dcache-loads              total=309343228        avg/run=30934322.80
L1-dcache-load-misses        total=8817948          avg/run=881794.80
L1-dcache-stores             total=36182922         avg/run=3618292.20
L1-dcache-store-misses       <not supported>
L1-icache-load-misses        total=2218284          avg/run=221828.40
LLC-loads                    total=868130           avg/run=86813.00
LLC-load-misses              total=340593           avg/run=34059.30
LLC-stores                   total=4912556          avg/run=491255.60
LLC-store-misses             total=3891368          avg/run=389136.80
dTLB-loads                   total=320088968        avg/run=32008896.80
dTLB-load-misses             total=96729            avg/run=9672.90
dTLB-stores                  total=49137869         avg/run=4913786.90
dTLB-store-misses            total=163644           avg/run=16364.40
iTLB-loads                   total=6671             avg/run=667.10
iTLB-load-misses             total=7555             avg/run=755.50

--- derived metrics ---
IPC (instr/cycle)            1.636
L1D-load MPKI                7.1873
L1I-load MPKI                1.8081
LLC-load MPKI                0.2776
LLC-store MPKI               3.1718
dTLB-load MPKI               0.0788
dTLB-store MPKI              0.1334
iTLB-load MPKI               0.0062
L1D-load miss rate           2.8505%
LLC-load miss rate           39.2329%
