label,size,instructions,cycles,l1d_loads,l1d_misses,llc_loads,llc_misses,l2_refs,l2_misses
naive,1024,91575993.0,200560780.0,24312818.0,1294129.0,662635.0,86712.0,12697191.0,8084687.0
naive,2048,1814863734.0,2752944843.0,442364251.0,24313724.0,9551762.0,2175453.0,195850612.0,122601373.0
naive,256,308795773.0,172970109.0,118900008.0,73594.0,4843.0,253.0,4350016.0,74650.0
naive,512,3371374.0,18899979.0,1347144.0,168165.0,89393.0,2918.0,1170149.0,894589.0
optimized,1024,51339612.0,44697341.0,13892153.0,345664.0,192565.0,63246.0,2949934.0,1315344.0
optimized,2048,229048047.0,341420283.0,59225625.0,5498297.0,2099074.0,581453.0,25234376.0,15827235.0
optimized,256,2742729.0,1575592.0,629457.0,27185.0,4679.0,1101.0,193519.0,51156.0
optimized,512,1424024.0,2579791.0,354120.0,28920.0,22658.0,317.0,262311.0,218179.0
prefetch,1024,8716849.0,28321131.0,1905335.0,172930.0,106375.0,3102.0,2354052.0,1957345.0
prefetch,2048,298802253.0,455533130.0,73381922.0,3831921.0,1351989.0,213363.0,32721015.0,17829036.0
prefetch,256,2404283.0,3556191.0,599533.0,22144.0,4851.0,1282.0,216242.0,42944.0
prefetch,512,1859880.0,4056276.0,320333.0,25355.0,19895.0,1345.0,357802.0,279745.0
simd,1024,31570875.0,35171414.0,7186567.0,323824.0,94404.0,35282.0,2484662.0,1160387.0
simd,2048,1237005984.0,757702086.0,293690643.0,5153743.0,1775372.0,421416.0,41577229.0,22998930.0
simd,256,122567.0,451570.0,34002.0,2770.0,1880.0,86.0,29304.0,20344.0
simd,512,278009.0,1160592.0,63205.0,5726.0,4037.0,45.0,91644.0,74398.0
