distance,M,N,K,time_ms,gflops,speedup,rel_err
1,512,512,512,11.1635,24.046,9.8790,9.237e-07
1,1024,1024,1024,92.2511,23.279,8.4732,1.787e-06
1,2048,2048,2048,936.6569,18.342,11.8869,1.815e-06
2,512,512,512,14.3318,18.730,8.3997,9.237e-07
2,1024,1024,1024,117.2302,18.319,8.9122,1.787e-06
2,2048,2048,2048,744.5131,23.075,8.6307,1.815e-06
4,512,512,512,11.3160,23.722,9.7746,9.237e-07
4,1024,1024,1024,93.6545,22.930,8.2005,1.787e-06
4,2048,2048,2048,746.4704,23.015,8.5946,1.815e-06
8,512,512,512,10.2846,26.101,8.9280,9.237e-07
8,1024,1024,1024,85.2817,25.181,9.0307,1.787e-06
8,2048,2048,2048,691.6030,24.841,9.2844,1.815e-06
16,512,512,512,10.5383,25.472,9.6689,9.237e-07
16,1024,1024,1024,84.7022,25.353,9.0657,1.787e-06
16,2048,2048,2048,678.9992,25.302,9.4708,1.815e-06
32,512,512,512,10.4533,25.680,9.1818,9.237e-07
32,1024,1024,1024,83.6419,25.675,9.1639,1.787e-06
32,2048,2048,2048,690.8399,24.868,11.6883,1.815e-06
64,512,512,512,13.3568,20.097,7.3970,9.237e-07
64,1024,1024,1024,91.9613,23.352,8.4436,1.787e-06
64,2048,2048,2048,850.3767,20.203,7.6677,1.815e-06
128,512,512,512,16.8693,15.913,5.5158,9.237e-07
128,1024,1024,1024,95.3421,22.524,8.4978,1.787e-06
128,2048,2048,2048,762.8037,22.522,8.5502,1.815e-06
