hint,distance,M,N,K,time_ms,gflops,speedup,rel_err
_MM_HINT_T0,1,512,512,512,10.6560,25.191,8.4429,9.237e-07
_MM_HINT_T0,1,1024,1024,1024,88.1511,24.361,8.7215,1.787e-06
_MM_HINT_T0,1,2048,2048,2048,730.5212,23.517,8.9821,1.815e-06
_MM_HINT_T1,1,512,512,512,12.0457,22.285,7.9274,9.237e-07
_MM_HINT_T1,1,1024,1024,1024,99.3601,21.613,7.7271,1.787e-06
_MM_HINT_T1,1,2048,2048,2048,804.9259,21.343,7.9980,1.815e-06
_MM_HINT_T2,1,512,512,512,12.1711,22.055,8.1927,9.237e-07
_MM_HINT_T2,1,1024,1024,1024,99.5972,21.562,7.7257,1.787e-06
_MM_HINT_T2,1,2048,2048,2048,811.2234,21.178,7.9205,1.815e-06
_MM_HINT_NTA,1,512,512,512,11.3568,23.636,8.6077,9.237e-07
_MM_HINT_NTA,1,1024,1024,1024,88.0682,24.384,8.6818,1.787e-06
_MM_HINT_NTA,1,2048,2048,2048,733.1443,23.433,9.7722,1.815e-06
