width,M,N,K,time_ms,gflops,speedup,rel_err
naive,128,128,128,1.4360,2.921,1.0000,0.000e+00
128,128,128,128,0.1580,26.544,9.0879,6.081e-07
256,128,128,128,0.1459,28.757,9.8457,5.405e-07
naive,256,256,256,6.7451,4.975,1.0000,0.000e+00
128,256,256,256,0.9474,35.416,7.1192,6.200e-07
256,256,256,256,0.4839,69.338,13.9383,5.425e-07
naive,512,512,512,50.4058,5.325,1.0000,0.000e+00
128,512,512,512,7.6374,35.147,6.5999,1.032e-06
256,512,512,512,4.3759,61.344,11.5190,9.780e-07
naive,1024,1024,1024,414.5932,5.180,1.0000,0.000e+00
128,1024,1024,1024,63.2509,33.952,6.5547,1.638e-06
256,1024,1024,1024,54.3851,39.487,7.6233,1.638e-06
naive,2048,2048,2048,3312.7819,5.186,1.0000,0.000e+00
128,2048,2048,2048,519.8862,33.045,6.3721,1.859e-06
256,2048,2048,2048,435.6317,39.437,7.6045,1.903e-06
