stage,M,N,K,time_ms,gflops,speedup,rel_err
naive,128,128,128,1.1151,3.761,1.0000,0.000e+00
simd,128,128,128,0.0616,68.047,18.0915,6.081e-07
prefetch,128,128,128,0.1576,26.612,7.0752,6.757e-07
optimized,128,128,128,0.1144,36.666,9.7483,6.757e-07
naive,192,192,192,4.9028,2.887,1.0000,0.000e+00
simd,192,192,192,0.3003,47.134,16.3248,5.745e-07
prefetch,192,192,192,0.9062,15.622,5.4106,4.788e-07
optimized,192,192,192,0.6742,20.997,7.2721,4.788e-07
naive,256,256,256,9.5208,3.524,1.0000,0.000e+00
simd,256,256,256,0.7375,45.497,12.9093,6.200e-07
prefetch,256,256,256,1.8275,18.361,5.2097,5.425e-07
optimized,256,256,256,1.5212,22.057,6.2586,5.425e-07
naive,384,384,384,37.2161,3.043,1.0000,0.000e+00
simd,384,384,384,1.7202,65.834,21.6351,8.251e-07
prefetch,384,384,384,4.4309,25.559,8.3993,8.886e-07
optimized,384,384,384,3.3982,33.325,10.9516,8.886e-07
naive,512,512,512,101.8934,2.634,1.0000,0.000e+00
simd,512,512,512,3.9909,67.263,25.5318,9.237e-07
prefetch,512,512,512,10.7038,25.078,9.5194,9.237e-07
optimized,512,512,512,8.4058,31.935,12.1218,9.237e-07
naive,768,768,768,331.0935,2.736,1.0000,0.000e+00
simd,768,768,768,15.3682,58.951,21.5440,1.050e-06
prefetch,768,768,768,36.0493,25.131,9.1845,1.050e-06
optimized,768,768,768,25.7287,35.212,12.8687,1.050e-06
naive,1024,1024,1024,780.6800,2.751,1.0000,0.000e+00
simd,1024,1024,1024,72.0507,29.805,10.8352,1.638e-06
prefetch,1024,1024,1024,87.7181,24.482,8.8999,1.787e-06
optimized,1024,1024,1024,81.0796,26.486,9.6286,1.787e-06
naive,1536,1536,1536,2714.7867,2.670,1.0000,0.000e+00
simd,1536,1536,1536,171.2431,42.324,15.8534,1.679e-06
prefetch,1536,1536,1536,298.6214,24.271,9.0911,1.679e-06
optimized,1536,1536,1536,223.9368,32.365,12.1230,1.679e-06
naive,2048,2048,2048,6641.4644,2.587,1.0000,0.000e+00
simd,2048,2048,2048,429.2883,40.019,15.4709,1.859e-06
prefetch,2048,2048,2048,709.0921,24.228,9.3662,1.815e-06
optimized,2048,2048,2048,543.5165,31.609,12.2194,1.815e-06
